58.42	154	1	Johnny was playing outside when he really had to go to the bathroom.<br>He runs in and his grandma was about to take a shower.<br>He looks at her crotch and says, "Whats that?" She says: "Well, it's a beaver, Johnny."<br>The next day the same thing happens, only his mom is taking the shower.<br>He says: "Mom I know what that is. It's a beaver, but I think grandma's is dead because it's tongue is hanging out."
44.95	32	2	Little girl: "Why does your son say, 'Cluck, cluck, cluck?'" <br>Mother: "Because he thinks he's a chicken." <br>Little girl: "Why don't you tell him he's not a chicken?" <br>Mother: "Because we need the eggs."
71.35	119	3	A man and a woman meet in an elevator. "Where are you heading today?" the man asks.<br>"I'm going down to give blood."<br>"How much do you get paid for giving blood?"<br>"About $20."<br>"Wow," says the man, "I'm going up to donate sperm, and the sperm bank pays $100."<br>The woman angrily gets off the elevator.<br>The next day, the man and woman meet in the elevator again.<br>"Fancy meeting you again. Where you off to today?"<br>"Sperm bank," she says with her mouth full.
14.55	12989	4	I was in the restaurant yesterday when I suddenly realized I desperately needed to pass gas. <br>The music was really, really loud, so I timed my gas with the beat of the music. <br>After a couple of songs, I started to feel better. I finished my coffee, and noticed that everybody was staring at me...<br>Then I suddenly remembered that I was listening to my iPod.
88.11	5052	5	Little Johnny was sitting in class doing math problems when his teacher picked him to answer a question, "Johnny, if there were five birds sitting on a fence and you shot one with your gun, how many would be left?"<br>"None," replied Johnny, "cause the rest would fly away."<br>"Well, the answer is four," said the teacher, "but I like the way you're thinking." <br>Little Johnny says, "I have a question for you. If there were three women eating ice cream cones in a shop, one was licking her cone, the second was biting her cone and the third was sucking her cone, which one is married?" <br>"Well," said the teacher nervously, "I guess the one sucking the cone." <br>"No," said Little Johnny, "the one with the wedding ring on her finger, but I like the way you're thinking."
61.03	120	6	Yo mama's so fat that, after sex I rolled over twice and was still on the bitch!
77.81	370	7	A group of girlfriends is on vacation when they see a 5-story hotel with a sign that reads: "For Women Only."<br>Since they are without their boyfriends and husbands, they decide to go in.<br>The Bouncer, a very attractive guy, explains to them how it works. <br>"We have 5 floors. Go up floor by floor, and once you find what you are looking for, you can stay there. It's easy to decide since each floor has a sign telling you what's inside."<br>The women start going up and on the first floor the sign reads: "All the men here have it short and thin." <br>The friends laugh and without hesitation move on to the next floor. <br>The sign on the second floor reads: "All the men here have it long and thin." <br>Still, this isn't good enough so the friends continue on up. <br>They reach the third floor and the sign reads: "All the men here have it short and thick." <br>They still want to do better, and so, knowing there are still two floors left, they continued on up. <br>On the fourth floor, the sign is perfect: "All the men here have it long and thick." <br>The women get all excited and are going in when they realize that there is still one floor left. <br>Wondering what they are missing, they head on up to the fifth floor.<br>There they find a sign that reads: "There are no men here. This floor was built only to prove that there is no way to please a woman."
60.40	104	8	How can you tell if a man is lying?<br>You can see his lips moving.
76.32	451	9	Yo' mama so fat, people exercise by doing laps 'round her!
80.49	5532	10	One day a young man and woman were in their bedroom making love. <br>All of a sudden a bumble bee entered the bedroom window. <br>As the young lady parted her legs the bee entered her vagina. <br>The woman started screaming "Oh my god, help me, there's a bee in my vagina!" <br>The husband immediately took her to the local doctor and explained the situation.<br>The doctor thought for a moment and said "Hmm, tricky situation. But I have a solution to the problem if young sir would permit." <br>The husband being very concerned agreed that the doctor could use whatever method to get the bee out of his wife's vagina. <br>The doctor said "OK, what I'm gonna do is rub some honey over the top of my penis and insert it into your wife's vagina. When I feel the bee getting closer to the tip of my penis I shall withdraw it and the bee should hopefully follow my penis out of your wife's vagina. The husband nodded and gave his approval. The young lady said "Yes, Yes, whatever, just get on with it."<br>So the doctor, after covering the tip of his penis with honey, inserted it into the young lady's vagina. <br>After a few gentle strokes, the doctor said, "I don't think the bee has noticed the honey yet. Perhaps I should go a bit deeper." <br>So the doctor went deeper and deeper. <br>After a while the doctor began shafting the young lady very hard indeed.<br>The young lady began to quiver with excitement. <br>She began to moan and groan aloud.<br>The doctor, concentrating very hard, looked like he was enjoying himself, he then put his hands on the young lady's breasts and started making loud noises.<br>The husband at this point suddenly became very annoyed and shouted, "Now wait a minute! What the Hell do you think you're doing?" <br>The doctor, still concentrating, replied, "Change of plan. I'm gonna drown the bastard!"
34.25	36	11	My husband added some spice to our marriage.<br>He's left home.
71.36	123	12	Why was the computer tired when he got home? <br>Because he had a hard drive.
55.25	51	13	Why are all jokes about women one-liners?<br>So men can understand them.
83.39	189	14	Girls are like Internet Domain names, the ones I like are already taken.
73.28	98	15	A punk rocker gets on the bus with green, yellow, purple and orange hair.<br>An old guy sitting on the bus stares at him, and the punk says, "What's the matter, old man, didn't you ever do anything wild in your life?" <br>And the old man says, "Yeah, one time I fucked a parrot. I thought maybe you were my kid."
87.00	2013	16	Cop on horse says to little girl on bike, "Did Santa get you that?" <br>"Yes," replies the little girl. <br>"Well tell him to put a reflector light on it next year!" and fines her $5. <br>The little girl looks up at the cop and says, "Nice horse you've got there, did Santa bring you that?" <br>The cop chuckles and replies, "He sure did!" <br>"Well," says the little girl, "Next year tell Santa that the d*ck goes under the horse, not on top of it!"
88.14	3652	17	An 85-year-old man was requested by his doctor for a sperm count as part of his physical exam. <br>The doctor gave the man a jar and said, "Take this jar home and bring back a semen sample tomorrow." <br>The next day the 85-year-old man reappeared at the doctor's office and gave him the jar, which was as clean and empty as on the previous day. <br>The doctor asked, what happened and the man explained. <br>"Well, doc, it's like this--first I tried with my right hand, but nothing. Then I tried with my left hand, but still nothing. Then I asked my wife for help. She tried with her right hand, then with her left, still nothing. She tried with her mouth, first with the teeth in, then with her teeth out, still nothing. We even called up Arleen, the lady next door and she tried too, first with both hands, then an armpit, and she even tried squeezin' it between her knees, but still nothing." <br>The doctor was shocked! "You asked your neighbor?" <br>The old man replied, "Yep, none of us could get the jar open."
78.49	2389	18	A High School English Teacher reminds her class of tomorrow's final exam. <br>She tells the class that there would be no excuse for not showing up, except for a serious injury or illness, or a death in the student's immediate family.<br>One smart-ass jock in the back of the room asks, "What about extreme sexual exhaustion?"<br>The entire class does its best to stifle their laughter and snickering. <br>When silence is restored the teacher smiles sympathetically at the student, shakes her head, and sweetly says, "Not an excuse. You can use your other hand to write with."
54.46	60	19	Q: What are the blonde's first words after 4 years of college?<br>A: "Would you like fries with that?"
